Pays,Population,PIB (USD),Superficie (km2),PIB par habitant (USD),Soldat
États-Unis,331000000,25460000000000,9833517,76927,2
Chine,1412000000,17960000000000,9596960,12720,2035000
Inde,1380000000,3385000000000,3287263,2452,1455550
Allemagne,83000000,4260000000000,357114,51325,183000
France,67000000,2940000000000,551695,43881,203250
Japon,125000000,4230000000000,377975,33840,247150
Royaume-Uni,67000000,3070000000000,243610,45821,148350
Brésil,214000000,1920000000000,8515767,8972,334500
Canada,38000000,2140000000000,9984670,56315,68000
Russie,144000000,2240000000000,17098242,15556,1350000
Australie,26000000,1630000000000,7692024,62692,58600
Espagne,47000000,1450000000000,505990,30851,120000
Mexique,130000000,1290000000000,1964375,9923,277150
Corée du Sud,52000000,1670000000000,100210,32115,555000
Italie,60000000,2010000000000,301340,33500,165500
Arabie Saoudite,35000000,1040000000000,2149690,29714,257000
Turquie,85000000,905000000000,783562,10647,355200
Suisse,8600000,807000000000,41285,93837,21500
Pays-Bas,17500000,1010000000000,41543,57714,41000
Suède,10500000,585000000000,450295,55714,24400
Pologne,38000000,688000000000,312696,18105,185000
Belgique,11500000,594000000000,30528,51652,25000
Argentine,45000000,487000000000,2780400,10822,74500
Norvège,5400000,482000000000,385207,89259,23250
Israël,9300000,488000000000,20770,52473,169500
Émirats Arabes Unis,10000000,415000000000,83600,41500,63000
Singapour,5900000,397000000000,728,67288,72500
Danemark,5900000,395000000000,42924,66949,17000
Finlande,5500000,281000000000,338145,51091,21500
Portugal,10300000,240000000000,92212,23301,27650
Pakistan,220000000,376000000000,881913,1709,654000
Égypte,102000000,387000000000,1001449,3794,438500
Nigeria,216000000,477000000000,923768,2208,135000
Afrique du Sud,60000000,419000000000,1219090,6983,78050
Iran,85000000,367000000000,1648195,4318,523000
Irak,41000000,207000000000,438317,5049,196000
Colombie,51000000,314000000000,1141748,6157,295000
Chili,19000000,301000000000,756102,15842,80500
Thaïlande,70000000,506000000000,513120,7229,361000
Vietnam,97000000,409000000000,331212,4216,482000
Philippines,110000000,394000000000,300000,3582,137000
Malaisie,33000000,373000000000,329847,11303,113000
Bangladesh,165000000,460000000000,147570,2788,203000
Ukraine,44000000,160000000000,603550,3636,500000
Roumanie,19000000,301000000000,238397,15842,69000
Hongrie,10000000,185000000000,93028,18500,22000
République tchèque,10700000,282000000000,78866,26355,26000
Grèce,10700000,218000000000,131957,20374,142000
Maroc,37000000,134000000000,446550,3621,196000
Algérie,45000000,191000000000,2381741,4244,317000
